"column","district","restaurantName","address","contactInfo","googlereviewlink","openingtime","latitude","longitude","ratingintotaloffive","ratingcategories"
"1","金雞母","好糧（淡大店）","251新北市淡水區北新路184巷88號","line:@fho8535c","https://reurl.cc/y73Ox2","星期一~星期五:11:30–14:00、17:30–20:00/星期六、星期日:休息","25.1774462","121.4482172","4.3","四分或以上"
"2","金雞母","悠閒餐屋","251新北市淡水區北新路184巷208號1樓","0920-966-193","https://reurl.cc/aVWXp3","星期一~星期五:11:00–20:30/星期六、星期日:休息","25.1769532","121.4485188","3.7","三分"
"3","金雞母","豪客健身餐","251新北市淡水區北新路184巷212號1樓","ig: haocook.fitmeal、fb:豪客健身餐","https://reurl.cc/gDqNkQ","星期一~星期五、星期日:11:00–14:00、17:00–20:00/星期六:休息","25.1768992","121.4486053","4.1","四分或以上"
"4","金雞母","吃飯大學","251新北市淡水區北新路184巷200號1樓","(02) 8631-7942","https://reurl.cc/nD8xnD","星期一~星期五、星期日:11:00–20:00/星期六:休息","25.1768901","121.4488048","4","四分或以上"
"5","金雞母","藍田早餐","25166新北市淡水區北新路184巷192號1樓","(02) 2623-5567","https://reurl.cc/2Ld7xE","星期一~星期五:06:30–14:00/星期六:07:30–14:00/星期日:休息","24.5420999","120.4663574","4.4","四分或以上"
"6","金雞母","煎匙早午餐揚州炒飯","251新北市淡水區北新路184巷180號 168號1樓","(02) 2628-3585","https://reurl.cc/4o0Ykv","星期一~星期四:09:30–14:00/星期五~星期日:休息","25.177001","121.4490334","4.7","四分或以上"
"7","金雞母","鄭媽媽早餐屋","251新北市淡水區水源街二段177巷1樓","N/A","https://reurl.cc/gDqN07","星期一~星期五:06:00–13:30/星期六、星期日:休息","25.1771039","121.4490211","4","四分或以上"
"8","金雞母","美而寶","251新北市淡水區北新路184巷158號1樓","(02) 2629-1810","https://reurl.cc/N07Opm","星期二~星期日:08:00–14:30/星期一:休息","25.1772387","121.4487791","4.3","四分或以上"
"9","金雞母","滷獲至飽","251新北市淡水區北新路184巷162號1樓","N/A","https://reurl.cc/3x2yoR","星期一~星期日:18:00–00:00","25.1771313","121.4489809","4.3","四分或以上"
"10","金雞母","Buona Pasta 金雞母店","251新北市淡水區北新路184巷142弄9號1樓","(02) 8631-3386","https://reurl.cc/jDnVl2","星期一~星期日:11:30–14:30、17:00–20:00","25.1771765","121.4484709","4.3","四分或以上"
